                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87223,                0.78057,                 1.3476,                0.83114,                0.75622,                0.83981,                0.58763,                 1.0373,                0.74311,                 1.6694,               0.006634,               0.006634,               0.006634
                     36,                0.86273,                0.77428,                 1.3375,                 0.8251,                0.75048,                0.83886,                0.58796,                 1.0255,                0.74064,                 1.6529,               0.006535,               0.006535,               0.006535
                     37,                0.86474,                  0.768,                   1.34,                0.82139,                  0.763,                0.84195,                0.59018,                 1.0221,                0.73137,                 1.6486,               0.006436,               0.006436,               0.006436
                     38,                0.85367,                0.75662,                 1.3315,                0.83837,                 0.7515,                0.84199,                0.59079,                 1.0175,                0.73246,                 1.6498,               0.006337,               0.006337,               0.006337
                     39,                0.85726,                0.75085,                 1.3339,                0.82947,                0.76284,                0.84281,                0.59685,                  1.012,                0.73187,                  1.642,               0.006238,               0.006238,               0.006238
                     40,                0.85006,                0.74615,                 1.3323,                0.84157,                0.75434,                0.84542,                0.60153,                 1.0047,                0.72763,                 1.6294,               0.006139,               0.006139,               0.006139
                     41,                0.84652,                0.74423,                 1.3245,                0.83051,                0.76491,                0.84489,                0.60319,                0.99998,                0.72436,                 1.6208,                0.00604,                0.00604,                0.00604
                     42,                0.84634,                0.73856,                 1.3251,                0.83906,                0.75032,                0.84564,                0.60006,                  0.998,                0.72484,                 1.6171,               0.005941,               0.005941,               0.005941
                     43,                0.84474,                0.73692,                 1.3233,                0.85068,                0.74514,                0.84415,                 0.6003,                 1.0026,                0.72956,                 1.6251,               0.005842,               0.005842,               0.005842
                     44,                0.83923,                0.73365,                 1.3226,                0.81318,                0.77286,                0.84515,                0.59939,                 1.0012,                0.72832,                  1.621,               0.005743,               0.005743,               0.005743
                     45,                0.83088,                0.71826,                 1.3142,                0.81127,                0.77551,                0.84607,                 0.6008,                0.99788,                0.72495,                 1.6135,               0.005644,               0.005644,               0.005644
                     46,                0.83623,                0.71756,                 1.3126,                0.83041,                0.76668,                0.84618,                 0.6013,                0.99642,                0.72327,                 1.6133,               0.005545,               0.005545,               0.005545
                     47,                0.82667,                0.70737,                 1.3093,                 0.8125,                0.77793,                0.84643,                0.60072,                0.99504,                0.72309,                 1.6096,               0.005446,               0.005446,               0.005446
                     48,                0.82514,                0.70585,                 1.3108,                0.82672,                0.76739,                0.84587,                0.59978,                0.99264,                0.72356,                 1.6069,               0.005347,               0.005347,               0.005347
                     49,                 0.8155,                0.69717,                 1.3064,                0.81189,                0.77524,                0.84489,                0.60102,                0.98783,                0.72422,                 1.5989,               0.005248,               0.005248,               0.005248
                     50,                0.82039,                0.69664,                 1.3029,                0.82071,                0.77227,                  0.844,                0.60165,                0.98316,                0.72406,                 1.5941,               0.005149,               0.005149,               0.005149
                     51,                0.80819,                0.68155,                 1.2974,                0.81836,                0.77204,                0.84362,                0.60369,                0.97759,                  0.721,                 1.5857,                0.00505,                0.00505,                0.00505
                     52,                0.80377,                0.68241,                 1.2907,                0.82021,                0.77138,                0.84336,                0.60459,                  0.973,                0.71847,                 1.5784,               0.004951,               0.004951,               0.004951
                     53,                0.80242,                0.67316,                 1.2932,                0.81842,                0.77098,                0.84373,                0.60562,                0.96927,                0.71712,                 1.5743,               0.004852,               0.004852,               0.004852
                     54,                0.80118,                0.66768,                 1.2889,                0.81564,                0.77603,                0.84435,                0.60697,                0.96569,                0.71597,                 1.5709,               0.004753,               0.004753,               0.004753
                     55,                0.79908,                0.67202,                 1.2914,                 0.8219,                 0.7688,                0.84418,                0.60726,                0.96307,                0.71484,                  1.568,               0.004654,               0.004654,               0.004654
                     56,                 0.7993,                0.66311,                 1.2887,                 0.8203,                0.77266,                0.84475,                0.60743,                0.96265,                0.71556,                 1.5668,               0.004555,               0.004555,               0.004555
                     57,                0.78978,                0.65398,                 1.2838,                0.81685,                0.77816,                0.84518,                 0.6076,                0.96413,                0.71769,                 1.5681,               0.004456,               0.004456,               0.004456
                     58,                0.79332,                0.64977,                 1.2805,                0.81448,                0.78205,                0.84497,                0.60661,                0.96567,                0.71952,                 1.5694,               0.004357,               0.004357,               0.004357
                     59,                0.79052,                0.64957,                 1.2793,                  0.813,                0.77944,                0.84409,                0.60615,                0.96673,                0.72056,                 1.5706,               0.004258,               0.004258,               0.004258
                     60,                0.79262,                0.64789,                 1.2776,                0.82329,                0.77356,                0.84436,                0.60641,                0.96626,                0.71926,                 1.5696,               0.004159,               0.004159,               0.004159
                     61,                0.77766,                0.63428,                 1.2731,                0.82238,                0.77372,                0.84308,                0.60725,                0.96477,                0.71952,                 1.5675,                0.00406,                0.00406,                0.00406
                     62,                0.77217,                 0.6302,                  1.269,                0.80888,                0.78142,                0.84274,                0.60686,                0.96368,                0.71873,                 1.5655,               0.003961,               0.003961,               0.003961
                     63,                0.77307,                0.62987,                 1.2685,                0.81264,                0.77799,                0.84274,                0.60668,                0.96408,                0.71984,                 1.5654,               0.003862,               0.003862,               0.003862
                     64,                0.77638,                0.62701,                 1.2692,                0.81137,                0.77811,                0.84339,                0.60768,                0.96243,                0.71866,                 1.5632,               0.003763,               0.003763,               0.003763
                     65,                0.77034,                0.62204,                 1.2622,                0.81505,                0.77748,                0.84286,                0.60723,                0.96283,                0.71827,                 1.5631,               0.003664,               0.003664,               0.003664
                     66,                0.76961,                0.61495,                 1.2599,                0.81547,                0.77843,                0.84305,                0.60701,                0.96318,                0.71842,                 1.5632,               0.003565,               0.003565,               0.003565
                     67,                0.76265,                0.60724,                 1.2571,                0.81759,                0.77876,                0.84303,                 0.6074,                0.96293,                0.71699,                 1.5624,               0.003466,               0.003466,               0.003466
                     68,                 0.7573,                0.60223,                 1.2542,                0.81935,                0.77869,                 0.8432,                0.60703,                0.96224,                0.71681,                  1.561,               0.003367,               0.003367,               0.003367
                     69,                0.75838,                0.60106,                 1.2562,                0.81865,                0.77885,                0.84293,                0.60741,                0.96141,                 0.7157,                 1.5593,               0.003268,               0.003268,               0.003268
                     70,                0.75425,                0.59901,                 1.2509,                0.81823,                0.77967,                0.84247,                 0.6075,                0.96051,                0.71465,                 1.5578,               0.003169,               0.003169,               0.003169
                     71,                0.74955,                0.58909,                 1.2486,                0.82056,                0.77844,                0.84167,                0.60709,                0.96004,                0.71438,                 1.5563,                0.00307,                0.00307,                0.00307
                     72,                0.74357,                0.58704,                 1.2438,                0.82275,                0.77781,                0.84144,                0.60637,                0.96016,                0.71379,                 1.5554,               0.002971,               0.002971,               0.002971
                     73,                 0.7374,                0.57991,                 1.2382,                0.82261,                 0.7767,                0.84118,                0.60649,                0.95984,                0.71312,                 1.5546,               0.002872,               0.002872,               0.002872
                     74,                0.73762,                0.57614,                 1.2395,                0.82284,                0.77612,                0.84053,                0.60628,                0.95989,                0.71252,                 1.5541,               0.002773,               0.002773,               0.002773
                     75,                0.72793,                0.56375,                 1.2322,                0.82244,                0.77431,                 0.8402,                0.60602,                 0.9604,                0.71193,                 1.5545,               0.002674,               0.002674,               0.002674
                     76,                0.73507,                0.57319,                  1.238,                0.82232,                0.77514,                0.83945,                0.60483,                0.96141,                0.71279,                  1.555,               0.002575,               0.002575,               0.002575
                     77,                0.72612,                0.56206,                 1.2274,                 0.8234,                0.77414,                0.83934,                0.60452,                0.96143,                0.71322,                 1.5545,               0.002476,               0.002476,               0.002476
